certificate_id,film_name,film_name_full,language,duration_mins,mod_tags,content_tags,type_tags,description,cleaned_description,cut_no,deleted_mins,replaced_mins,inserted_mins,total_modified_time_mins,cert_date,cert_no,category,format,applicant,certifier
100030842500000159,KANDIBAN,KANDIBAN (TAMIL) (Color) (2-D),Tamil,109.5,insertion; translation; warning_disclaimer,group_reference,certificate_disclaimer; scene_visual,"Insert the disclaimer for 08 seconds in Tamil and English stating that Consumption and trafficking of Narcotics Drugs and Psychotropic substances is Prohibited in Law and Punishable with Rigorous imprisonment and Fine. In the scenes of drugs, the disclaimer shall be inserted in the language of the film. - Inserted:","Insert the disclaimer for in Tamil and English stating that Consumption and trafficking of Narcotics Drugs and Psychotropic substances is Prohibited in Law and Punishable with Rigorous imprisonment and Fine. In the scenes of drugs, the disclaimer shall be inserted in the language of the film. - Inserted",1,0,0.133333333333333,0,0.13,2025-01-31,DIL6132025-Che,Theatrical,Long,A Muthukrishnan (E.O.),"D BALAMURALI, RO, CBFC, Chennai"
100030842500000159,KANDIBAN,KANDIBAN (TAMIL) (Color) (2-D),Tamil,109.5,audio_mute,,dialogue_speech,"Muted the words Ammana and Ommalae in TC 38:15, 40:16.","Muted the words Ammana and Ommalae in TC ,",2,0,0,0,0,2025-01-31,DIL6132025-Che,Theatrical,Long,A Muthukrishnan (E.O.),"D BALAMURALI, RO, CBFC, Chennai"
100030842500000159,KANDIBAN,KANDIBAN (TAMIL) (Color) (2-D),Tamil,109.5,replacement,,dialogue_speech; technical_meta,The sound special effects and dialogues missing in some places are to be corrected properly and submit the same for verification. - Corrected and Verified: (No change in duration),The sound special effects and dialogues missing in some places are to be corrected properly and submit the same for verification. - Corrected and Verified: (No change in duration,3,0,0,0,0,2025-01-31,DIL6132025-Che,Theatrical,Long,A Muthukrishnan (E.O.),"D BALAMURALI, RO, CBFC, Chennai"
100050842500000052,DUSTBIN,DUSTBIN (PUNJABI) (Color) (2-D),PUNJABI,96.33,insertion; warning_disclaimer,group_reference,certificate_disclaimer; text_title,"Fiction disclaimer, cast, credit , title has been inserted in Punjabi.","Fiction disclaimer, cast, credit , title has been inserted in Punjabi",1,0,0,0,0,2025-01-31,VIL722025-DEL,Video,Long,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : CA052201202500026Film Name : DUSTBIN (PUNJABI) (Color) (2-D)Applied Running Time : 096.33 MM.SS Cert No. VIL722025-DEL Dated 31012025Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Fiction disclaimer, cast, credit , title has been inserted in Punjabi.00.0000.0000.002Camel shot has been replaced.00.0000.0000.003The word Kudi E Badoo has been muted.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 096.33 MM.SS in 0 cassette(s).","MAHESH KUMAR, RO, CBFC, Delhi"
100050842500000052,DUSTBIN,DUSTBIN (PUNJABI) (Color) (2-D),PUNJABI,96.33,replacement,,scene_visual,Camel shot has been replaced.,Camel shot has been replaced,2,0,0,0,0,2025-01-31,VIL722025-DEL,Video,Long,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : CA052201202500026Film Name : DUSTBIN (PUNJABI) (Color) (2-D)Applied Running Time : 096.33 MM.SS Cert No. VIL722025-DEL Dated 31012025Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Fiction disclaimer, cast, credit , title has been inserted in Punjabi.00.0000.0000.002Camel shot has been replaced.00.0000.0000.003The word Kudi E Badoo has been muted.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 096.33 MM.SS in 0 cassette(s).","MAHESH KUMAR, RO, CBFC, Delhi"
100050842500000052,DUSTBIN,DUSTBIN (PUNJABI) (Color) (2-D),PUNJABI,96.33,audio_mute,,dialogue_speech,The word Kudi E Badoo has been muted.,The word Kudi E Badoo has been muted,3,0,0,0,0,2025-01-31,VIL722025-DEL,Video,Long,"qr-redirect-endorsment  width: 98; float: left; padding: 1;  .endorsementHeading  width: 100; float: left; text-align: center; background: 555; color: fff; font-weight: bold; padding: 6px 0; margin-top: 10px; border-radius: 3px;  qr-redirect-endorsment div  width: 100; float: left; margin: 5px 0;  qr-redirect-endorsment table, qr-redirect-endorsment td, qr-redirect-endorsment th  border: 1px solid 888; text-align: left;  qr-redirect-endorsment table  border-collapse: collapse; width: 100;  qr-redirect-endorsment th, qr-redirect-endorsment td  padding: 5px; font-size: 12px;  EndorsementFile No. : CA052201202500026Film Name : DUSTBIN (PUNJABI) (Color) (2-D)Applied Running Time : 096.33 MM.SS Cert No. VIL722025-DEL Dated 31012025Insertions  Excisions Modifications carried out by the applicant to comply with the law in force Duration (MM.SS)Cut No.DescriptionDeletedReplacedInserted1Fiction disclaimer, cast, credit , title has been inserted in Punjabi.00.0000.0000.002Camel shot has been replaced.00.0000.0000.003The word Kudi E Badoo has been muted.00.0000.0000.00Total : 00.0000.0000.00Actual Duration of the film after the aforesaid deletions and replacements will be 096.33 MM.SS in 0 cassette(s).","MAHESH KUMAR, RO, CBFC, Delhi"
100070842400001325,KAADHALIKKATHEY,KAADHALIKKATHEY (DONT LOVE) (TAMIL) (Color) (2-D),Tamil,177.44,deletion; insertion; visual_blur; warning_disclaimer,,certificate_disclaimer,First cut recommend was not carried out and no disclaimer was inserted in the beginning. Blurred,First cut recommend was not carried out and no disclaimer was inserted in the beginning. Blurred,1,0,0,0,0,2025-01-31,VIL732025-HYD,Video,Long,SHIRIN SRIRAM - HYDERABAD(SHIRIN SRIRAM CAFE),"Rahul Gowlikar, RO, CBFC, Hyderabad"
100070842400001325,KAADHALIKKATHEY,KAADHALIKKATHEY (DONT LOVE) (TAMIL) (Color) (2-D),Tamil,177.44,deletion; visual_blur; visual_censor,violence_physical,,The cut no.6 was partially carried and the blood in red colour was on the knife as well as vomiting of blood covered with C.G.Blurred.,The cut no.6 was partially carried and the blood in red colour was on the knife as well as vomiting of blood covered with C.G.Blurred,2,0,0,0,0,2025-01-31,VIL732025-HYD,Video,Long,SHIRIN SRIRAM - HYDERABAD(SHIRIN SRIRAM CAFE),"Rahul Gowlikar, RO, CBFC, Hyderabad"
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),TELUGU,151.23,deletion; replacement,religious,scene_visual,Excise the visuals of footwear near temple at 20.00 (modified),Excise the visuals of footwear near temple at (modified,1,0,0,0,0,2025-01-31,DIL692025-HYD,Theatrical,Long,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad"
100070842500000085,THANDEL,THANDEL (TELUGU WITH ENGLISH SUBTITLE) (Color) (2-D),TELUGU,151.23,audio_mute; deletion; translation,,dialogue_speech; text_title,Excise the word Chepalana in audio and subtitle text at 25.52 (muted with change in subtitle text),Excise the word Chepalana in audio and subtitle text at (muted with change in subtitle text,2,0,0,0,0,2025-01-31,DIL692025-HYD,Theatrical,Long,"ALLU ARAVIND BABU - HYDERABAD(GEETHA ARTS (A UNIT OF ALLU ENTERTAINMENT LLP)), GAVARA UDAYA SRINIVASU - HYDERABAD(GK PRODUCTION SOLUTIONS PRIVATE LIMITED)","Rahul Gowlikar, RO, CBFC, Hyderabad"
