id,certificate_id,movie_name,language,duration_secs,description,cleaned_description,cut_no,deleted_secs,replaced_secs,inserted_secs,total_modified_time_secs,cert_date,cert_no,applicant,certifier,rating,cbfc_file_no
100010292500001072,100010842400007410,ZOMBIELAND 2 DOUBLE TAP,Telugu,5837.0,Deleted the scene of chopping of body part at TCR-00:02:00:00,,1,3.0,0.0,0.0,3.0,2025-02-28,VFL6432025-MUM,Premraj Achari (E.O.),"Mahesh Kumar, RO, CBFC, Mumbai",UA 13+,CA013009202400043
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Muted the word Condoms. At Tcr: 00.18.45.20 Το 00.18.57.03,,10,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Muted the word Sex. At Tcr: 00.17.05.04 Το 00.17.16.23,,9,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Muted the word Sex. At Tcr: 00.16.03.19 Το 00.16.18.20,,8,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Muted the word Condoms. At Tcr: 00.14.45.22 Το 00.15.30.23,,7,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Blurred the I-Fill Packets At Tcr: 01.09.44.00 Το 01.15.14.11,,6,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Blurred the I-Fill Packets At TCR 1.15.40.09 to 1.15.46.08,,5,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Blurred the condoms I-Fill Packets Muted word Condom At TCR 0.14.53.01 to 0.14.57.22,,4,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,3) Shot Replaced At TCR 0.46.09.12 to 0.46.10.21 old timeline Shot Replaced At TCR 0.46.09.12 to 0.46.10.21 sec new timeline,,3,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Blurred the condoms Packets At TCR 0.42.23.10 to 0.42.24.21 old timeline Shot replaced 0.42.28.08 to 0. 42. 29. 08 Blurred the condoms Packets At TCR 0.42.23.10 to 0.42.24.21 New Time line Shot replaced 0.42.28.08 to 0. 42. 29. 08,,2,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001949,100010842500000231,YEH DIL BILL,Hindi,6618.0,Blurred the condoms Packets Muted word Condom At TCR 0.14.53.01 to 0.14.57.22,,1,0.0,0.0,0.0,0.0,,VIL7232025-MUM,Nagaraj P Revankar (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA011601202500062
100010292500001183,100050842500000084,YEAR 10,NO DIALOGUES ONLY VFX SOUND EFFECTS,5594.0,Inserted disclaimer (English) for the depiction of violence against child.,,1,0.0,10.0,0.0,10.0,,VFL7582025-MUM,Premraj Achari (E.O.),"Rajendra Singh, CEO, CBFC, Mumbai",UA 16+,CA012501202500163
100030292500000530,100030842500000401,YAMAN KATTALAI,Tamil,7180.0,Muted the words Brahmna and Saasthiraththai in TC 01:36:50.,,2,0.0,0.0,0.0,0.0,2025-03-14,DIL1152025-Che,A Muthukrishnan (E.O.),"D BALAMURALI, RO, CBFC, Chennai",U,CA031902202500024
